name,price,description,category,brand,rating,stock,release_date,discount_percent,features
"MacBook Pro M3",1799,"Powerful laptop featuring the M3 chip with 16GB RAM, 512GB SSD, and a stunning 14-inch Liquid Retina XDR display with ProMotion technology.",Laptop,Apple,4.9,15,2023-11-07,0,"AI-optimized,Thunderbolt 4,120Hz display"
"Legion Pro 7i",2299,"Gaming powerhouse with Intel Core i9, 32GB RAM, RTX 4080, and 1TB SSD. Features a 16-inch QHD 240Hz display with G-Sync.",Laptop,Lenovo,4.7,8,2023-06-12,10,"RGB keyboard,Advanced cooling,DLSS 3.0"
"XPS 13 Plus",1299,"Ultrabook with Intel Core i7, 16GB RAM, and 512GB SSD. Features a 13.4-inch 3.5K OLED touchscreen and a sleek, minimalist design.",Laptop,Dell,4.6,12,2023-02-15,5,"InfinityEdge display,ExpressCharge,Haptic touchpad"
"Surface Laptop Studio 2",1999,"Versatile 3-in-1 laptop with Intel Core i7, 16GB RAM, RTX 4050, and 512GB SSD. Features a 14.4-inch 120Hz PixelSense touchscreen.",Laptop,Microsoft,4.5,6,2023-10-03,0,"Detachable screen,Surface Pen support,Dolby Atmos"
"MacBook Air M2",999,"Thin and light laptop with M2 chip, 8GB RAM, and 256GB SSD. Features a 13.6-inch Liquid Retina display and all-day battery life.",Laptop,Apple,4.8,20,2022-07-15,15,"Fanless design,MagSafe charging,1080p webcam"
"ROG Zephyrus G14",1599,"Compact gaming laptop with Ryzen 9, 16GB RAM, RTX 4060, and 1TB SSD. Features a 14-inch QHD 165Hz display with AMD FreeSync.",Laptop,Asus,4.4,9,2023-04-22,5,"AniMe Matrix display,RGB keyboard,6-speaker system"
"Chromebook Plus",499,"Budget-friendly laptop with Intel Core i3, 8GB RAM, and 128GB eMMC. Features a 14-inch Full HD touchscreen and ChromeOS.",Laptop,HP,4.0,25,2023-09-30,20,"Google Assistant,Android app support,USI pen compatible"
"Framework Laptop 13",1049,"Modular and upgradeable laptop with Intel Core i5, 16GB RAM, and 512GB SSD. Features a 13.5-inch 3:2 display and tool-free repair.",Laptop,Framework,4.7,4,2023-07-10,0,"User-replaceable parts,Expansion cards,Privacy switches"
"MX Master 3S",99,"Premium wireless mouse with an 8K DPI sensor, quiet clicks, and a MagSpeed scroll wheel. Features Bluetooth and USB-C connectivity.",Mouse,Logitech,4.8,30,2022-05-25,10,"Multi-device,Ergonomic design,Smart actions"
"Basilisk V3 Pro",149,"Wireless gaming mouse with 30K DPI optical sensor, 11 programmable buttons, and customizable RGB lighting. Features HyperSpeed wireless.",Mouse,Razer,4.7,15,2022-08-23,0,"Optical switches,Focus Pro sensor,Wireless charging"
"Magic Mouse",79,"Wireless mouse with a Multi-Touch surface for gestures. Features a rechargeable battery and seamless compatibility with macOS.",Mouse,Apple,4.2,22,2021-04-20,0,"Multi-Touch surface,Wireless,Rechargeable"
"G502 X Plus",149,"Flagship gaming mouse with LIGHTSPEED wireless, HERO 25K sensor, and LIGHTSYNC RGB. Features hybrid optical-mechanical switches.",Mouse,Logitech,4.8,10,2022-09-01,15,"Hybrid switches,PowerPlay compatible,Infinite scroll"
"Pro Click Mini",79,"Compact wireless mouse with 7 programmable buttons and quiet clicks. Features dual wireless connectivity and up to 2-year battery life.",Mouse,Razer,4.3,18,2021-10-05,5,"Multi-host connectivity,Silent clicks,Ergonomic design"
"DeathAdder V3 Pro",149,"Ultra-lightweight wireless gaming mouse weighing just 63g. Features 30K DPI sensor and up to 90 hours of battery life.",Mouse,Razer,4.7,7,2022-08-11,0,"HyperPolling,Focus Pro sensor,Extreme lightweight"
"AirPods Pro 2",249,"True wireless earbuds with active noise cancellation, Transparency mode, and spatial audio. Features the H2 chip and MagSafe charging case.",Audio,Apple,4.7,40,2022-09-23,10,"Active noise cancellation,Spatial audio,Adaptive EQ"
"WH-1000XM5",399,"Premium wireless headphones with industry-leading noise cancellation, 30-hour battery life, and high-resolution audio.",Audio,Sony,4.9,25,2022-05-12,15,"LDAC codec,8 microphones,Auto NC Optimizer"
"QuietComfort Ultra",379,"Wireless noise-cancelling headphones with immersive audio, up to 24 hours of battery life, and CustomTune technology.",Audio,Bose,4.8,15,2023-10-15,0,"Spatial audio,Aware Mode,Multi-point connection"
